"","overallx","nrisk1","nrisk2","nrisk3","nrisk4","nrisk5","nrisk6","nrisk7","nrisk8","nrisk9","nrisk10","nrisk11","nrisk12","nrisk13","nrisk14","nrisk15","nrisk16","nrisk17","nrisk18","nrisk19","nrisk20","nrisk21","nrisk22","nrisk23","nrisk24","nrisk25","nrisk26","nrisk27","nrisk28","nrisk29","nrisk30","nrisk31","nrisk32","nrisk33","nrisk34","nrisk35","nrisk36","nrisk37","nrisk38","nrisk39","nrisk40","nrisk41","nrisk42","nrisk43","nrisk44","nrisk45","nrisk46","nrisk47","nrisk48","nrisk49","nrisk50","nrisk51","nrisk52","nrisk53","nrisk54","nrisk55","nrisk56","nrisk57","nrisk58","nrisk59"
"740",1,4,4,3,2,4,3,1,4,3,2,5,1,1,3,3,1,1,4,4,1,1,6,6,4,4,5,5,3,3,3,3,4,4,6,6,4,4,4,4,3,6,3,1,2,2,1,1,1,1,5,5,6,6,5,5,2,2,6,6
"741",0,1,1,2,6,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,3,1,2,2,1,1,2,2,1,1,4,3
"742",0,6,1,1,6,1,1,1,1,1,1,1,2,2,2,2,6,2,1,2,1,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,5,2,1,2,2,2,1,2,1,2
"743",0,2,3,3,4,5,3,3,2,1,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,1,2,4,2
"744",0,5,2,2,4,2,5,2,2,1,2,2,2,5,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2
"745",0,3,3,4,3,4,5,4,4,2,2,2,3,2,3,3,2,2,2,2,2,2,5,2,3,3,3,3,4,2,2,2,4,4,4,3,2,2,2,2,3,3,3,3,2,2,2,2,3,3,4,4,2,2,3,3,4,4,4,4
"746",0,6,5,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,1,2,3,2,3,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,4,2,3,2,1,2,2,2
"747",0,6,2,4,6,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,2,2,1,1,6,6
"748",1,6,4,4,6,6,6,6,6,5,5,2,2,2,6,6,6,2,6,2,2,2,6,2,2,2,4,2,6,2,6,2,6,2,2,2,6,4,2,2,6,2,2,2,2,2,2,2,6,4,2,2,4,1,4,4,6,2,6,4
"749",0,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,4,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,6,2
"750",1,4,4,4,4,4,3,4,4,3,4,3,3,2,2,2,4,2,5,2,2,2,4,2,4,2,4,2,5,2,5,2,5,2,4,4,4,4,5,2,4,2,4,2,3,2,3,2,3,2,3,2,4,2,4,2,4,2,4,2
"751",0,6,2,1,5,1,4,2,2,1,2,2,4,2,2,3,2,2,1,1,1,1,1,2,1,2,3,2,2,2,2,2,4,4,2,2,2,2,2,2,1,1,1,1,2,2,2,2,4,4,3,3,1,1,2,2,2,2,6,6
"752",0,5,2,2,4,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2
"753",0,4,1,1,4,1,1,1,2,1,1,3,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"754",0,4,2,1,4,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6
"755",0,3,2,4,2,2,2,1,3,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,3,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2
"756",1,4,1,2,3,2,3,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,5,2,1,2,3,2,4,2,2,2
"757",0,5,2,3,2,1,2,1,3,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
"758",1,1,1,4,3,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,3,2,1,1,3,3,3,3,2,2,1,1,2,2,2,2,3,3,1,1,2,2,2,2,6,6
"759",0,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,3,3,2,1,4,4,3,3,1,1
"760",0,4,3,3,1,1,1,1,1,2,2,2,4,1,1,4,3,3,1,1,1,1,1,1,1,1,1,1,3,3,2,2,4,4,1,1,5,5,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2,2,2,2
"761",0,4,3,3,3,1,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,3,3,1,1,2,2,2,2,1,1,3,3,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1
"762",0,6,1,1,6,1,4,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,3,4,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,3,2,1,1,1,2,2,2,2,2
"763",0,5,3,3,4,3,4,1,3,2,2,2,1,2,2,3,3,4,2,2,2,2,2,2,4,4,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2
"764",0,4,1,1,2,1,4,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"765",0,6,1,1,6,1,2,1,1,1,2,2,2,1,1,3,2,2,1,2,1,1,2,2,3,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,3,2,1,1,2,2,2,2,2,2
"766",0,4,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,5,3
"767",0,5,2,2,4,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"768",1,6,1,1,6,4,5,1,4,4,4,4,4,2,2,3,1,1,3,3,1,1,5,2,6,6,2,2,5,5,4,4,6,6,2,2,6,6,5,5,1,4,2,2,4,4,1,1,4,4,4,4,6,6,5,5,5,5,4,4
"769",1,6,3,4,6,1,1,1,4,1,3,5,5,1,4,3,3,3,3,2,1,2,1,2,3,3,2,2,3,2,1,2,5,2,3,2,4,2,3,2,2,2,5,2,2,2,3,2,4,2,6,6,6,1,3,3,3,2,2,5
